timestamp,joystick_throttle,joystick_direction,distance_L,distance_C,distance_R
1744232733.3321300,-1.0,0.02,302.7,821.17,187.84
1744232733.8709000,-1.0,0.01,320.77,709.91,172.55
1744232734.3090700,-1.0,0.01,348.25,607.24,159.83
1744232734.855480,-1.0,0.04,376.46,495.29,1480.01
1744232735.300700,-1.0,0.02,435.75,404.23,1455.27
1744232735.846230,-1.0,0.02,555.88,290.6,1435.32
1744232736.3966600,-1.0,0.84,559.48,919.47,1623.69
1744232736.8443300,-1.0,0.0,163.35,1226.62,1115.12
1744232737.3993500,-1.0,-0.53,1296.83,1509.94,1113.61
1744232737.8479000,-1.0,0.0,1580.11,1202.74,128.47
1744232738.2889500,-1.0,0.0,316.19,1106.86,108.48
1744232738.8291000,-1.0,0.0,322.74,997.48,100.91
1744232739.3687200,-1.0,0.0,331.61,912.56,100.63
1744232739.807820,-1.0,0.0,338.93,832.86,101.53
1744232740.34643,-1.0,0.03,339.05,721.69,108.52
1744232740.884480,-1.0,0.04,349.72,609.69,107.17
1744232741.3234000,-1.0,0.04,358.23,509.72,346.49
1744232741.8693000,-1.0,0.02,363.26,396.42,1578.02
1744232742.3140600,-1.0,0.21,374.5,303.11,1255.2
1744232742.8524700,-1.0,0.84,396.87,218.92,431.91
1744232743.3025300,-1.0,0.01,141.56,1509.82,1519.39
1744232743.848850,-1.0,-0.54,792.02,1408.95,219.98
1744232744.290980,-1.0,0.0,213.64,1323.65,198.27
1744232744.832040,-1.0,0.0,208.7,1202.74,181.87
1744232745.3722900,-1.0,0.0,213.77,1077.38,169.65
1744232745.8119300,-1.0,0.0,225.46,987.14,166.62
1744232746.3513600,-1.0,-0.03,241.53,871.95,148.55
1744232746.7902700,-1.0,-0.08,262.26,782.53,129.62
1744232747.3287600,-1.0,-0.19,287.37,671.39,101.0
1744232747.8666600,-1.0,0.0,293.79,565.16,87.38
1744232748.3035000,-1.0,0.05,308.51,474.35,108.64
1744232748.8454600,-1.0,0.04,323.84,358.06,878.62
1744232749.3881500,-1.0,0.76,341.3,252.28,1233.16
1744232749.8429200,-1.0,0.0,341.3,1367.2,177.38
1744232750.3816100,-1.0,-0.34,193.77,743.03,191.81
1744232750.8201100,-1.0,0.06,211.8,696.99,178.52
1744232751.3579600,-1.0,0.0,257.07,587.65,159.26
